Feature,Y1_Importance,Y2_Importance,Avg_Importance
A,375,564,469.5
F,333,454,393.5
G,448,319,383.5
B,341,418,379.5
K,311,444,377.5
L,311,384,347.5
D,331,348,339.5
H,389,277,333.0
M,372,294,333.0
I,285,344,314.5
C,328,283,305.5
J,344,261,302.5
N,340,259,299.5
E,314,276,295.0
