Feature,Y1_Importance,Y2_Importance,Avg_Importance
G,472,111,291.5
A,5,437,221.0
H,277,14,145.5
K,43,239,141.0
B,6,197,101.5
J,195,2,98.5
D,10,172,91.0
M,176,1,88.5
E,162,0,81.0
C,148,12,80.0
F,0,137,68.5
L,2,126,64.0
N,99,14,56.5
I,0,69,34.5
